image_id,id,caption
478430,354913,A woman in a bathing suit holding a Frisbee on a beach.
437239,377849,Three men and a woman in the park with frisbees. 
245301,392849,The girl is riding her show horse around the course. 
140007,438192,A girl in the snow wearing vintage ski equipment.
455004,448169,A woman is skiing on a mountain at night. 
129852,465457,A woman standing on top of  a lush green field.
273317,494806,A woman wearing a mask on her face purchasing vegetables
785,496037,A woman posing for the camera standing on skis.
470779,496547,Men and woman posing for a picture on skiis and a snowboard. 
558234,505180,A woman in a white dress standing over a multi layered cake.
263136,514029,A woman in a wedding dress standing in a field near a corn farm and holding the bridle of a cream colored horse.
339346,549944,Two woman standing on a hill of snow with ski poles. 
19446,573274,A woman running to catch a frisbee in the grass. 
85192,580612,A woman sitting in a stream using a frisbee to sift sand
329827,625065,Blurry photograph of a woman skiing down a slope
487435,664807,A woman riding skis down a snow covered slope.
537297,665994,a woman stands with a small child 
377802,696642,A woman standing on top of a field  near a frisbee.
6748,700062,"A woman is stooped beside a fence, watching a polar bear."
577373,702843,A girl catching a frisbee beside a soccer net.
517399,705552,A woman holding a baby next to a window.
331799,721206,A woman standing in front of a box handing a woman a bag of food.
391940,737755,A woman holding a piece of fruit and a bag.
457271,741957,A lady petting the top of a horses head.
355137,748030,Woman cross country skiing alone on a trail in the woods.
294011,749384,A woman wearing a jacket and jeans skiing down a hill.
327605,753060,The woman wearing skis and a helmet is standing with skis and ski poles. 
421455,789088,The woman is holding her phone toward the dog hanging out the car window.
83682,796270,A woman carving snow on her snow board
246746,805587,A woman riding a trotting horse through a course
574804,808418,A woman that is standing up with skis.
143901,4877,a woman holding a birthday cake filled with lit candles.
226988,8563,A woman taking a picture of her lunch at a restaurant.
567276,21094,A lady posed to hit a tennis ball on a tennis court.
182840,41428,A woman sitting in a chair using a cell phone.
355660,42941,A woman in a bikini top carries a surf board near the water.
572510,57888,A girl working on preparing food at her job
422516,63718,A woman sitting at a table with two bottles of beer next to a pizza.
405216,70071,A young woman riding a surfboard on a wave in the ocean.
190081,82488,A  young woman holding a giant tennis racquet 
226377,83717,A young woman holding a tennis racquet on a tennis court.
386879,84251,A woman wearing a red tennis outfit holding onto a racquet.
4011,95620,A woman wearing an apron standing next to a cake that looks like a white dog.
493628,96485,A woman laying on a bed wearing fishnet stockings.
135424,97461,A woman wearing a wetsuit surfs on a foggy day. 
467138,99354,A woman is holding a tennis racquet on the tennis court
113473,99557,Woman in sunglasses preparing to take a bite of a sandwich.
427980,109311,A beautiful young woman eating a giant slice of cheese pizza.
152202,129599,A young woman prepares to slice a giant birthday cookie!
429717,142277,A woman lays on her bed with her dog while using the mirror to take a picture.
56651,154846,A woman handing another woman a birthday cake filled with candles.
443347,160007,A young lady showing off the hot dogs she just bought. 
403693,173129,A young woman sitting against a bed post
306361,175363,A woman in a wedding dress is next to her cake.
389256,205128,A woman cutting a cake while wearing a crown.
159736,205484,A woman grabbing a piece of cake off the top of a plate.
557107,207650,A beautiful woman laying on top of a bed in lingerie.
104585,207755,A woman standing on a tennis court holding a racquet.
355257,214254,A woman laying in a hospital bed hooded up to machines.
483446,217245,A woman carrying a platter filled with hot dogs.
475398,227619,A woman standing next to a table holding a sheet cake.
560470,232117,A woman holding up a chocolate doughnut with icing on top of it.
133876,255233,A lady is in the hospital and sitting in a chair smiling.
25609,260866,A woman holding a pink donut covered in sprinkles.
196483,263800,A young woman standing next to another young woman.
276841,267488,"A woman holding two halves of a donut, one in each hand."
162092,278154,The woman is eating a piece of cake.
226579,279609,A woman holds the arms of a young boy on a soccer field. 
280819,280962,A lady sitting at an enormous dining table with lots of food.
137246,306165,A woman holding a hot dog on the street.
4592,306657,a woman with a hat swinging a tennis racquet
334021,309498,"Woman on tennis court playing tennis with a ponytail."
311465,316213,a woman wearing a wig holding a tennis racket 
52703,322393,A woman sitting down at a table to a couple of pizzas.
363241,326954,A lady eating a slice of deep dish pizza.
468613,344193,"In a restaurant kitchen, a woman prepare pizzas."
90374,349622,The woman is playing tennis on the court. 
51054,353550,A woman with a concerned look talking on a cell phone.
521400,367865,A woman with a racket stands at a net.
330967,371488,A girl is hitting the tennis ball during a match.
481635,374650,A smiling woman waves at the camera as she sits at a restaurant table in front of a piece of pizza.
413044,374933,The woman is eating her doughnut while sitting out on the bench. 
65736,387885,A woman in black shirt and skirt playing a game of tennis.
381296,388709,a girl smiling sitting at a table in front of several display items.
206431,392863,A woman is taking a bite of pizza.
551215,395968,The woman is playing a game of tennis on the court. 
257198,403241,A woman in sunglasses eating a hotdog in grassy area.
289263,413454,A girl in bikini standing with surfboard on the beach.
360409,419873,A woman in a wet suit surfs a wave.
482829,421145,A woman swinging a tennis racket at a tennis ball
462486,428412,A woman is playing tennis on a tennis court.
384089,436152,A girl in jeans and a top is lying on a bed. 
261587,436608,a girl on a board riding along a boat in the water
37158,441955,A woman making a weird face playing tennis
4092,459801,The woman holding the video game remote looks shocked.
391463,471445,A woman walking across a sandy beach with a surfboard.
476709,476431,A woman standing on top of a paddle board.
524627,476487,"A blond woman sitting at a table eating food wearing a t-shirt that says ""Stop staring at my donuts""."
226959,489394,a woman jumping in the air so she can hit a tennis ball with her racket 
325831,489539,A woman sharing a meal of cheese pizza with a friend at a cafe
301106,507427,A woman in a very short white skirt holding a tennis racquet.
517636,512659,A woman sitting on a surfboard at the edge of the water.
255863,514504,A woman with an intense look rared back with her tennis racquet.
332025,523370,A woman holding a dog close to a group of people with skiing gear 
455720,530030,A woman slices a cake while others wait in line for it.
10123,530350,A woman swinging a tennis racket at a tennis ball.
462466,531759,a lady lighting candles on a birthday cake
336356,531955,A beautiful woman sitting at a table with two pizzas.
346774,532011,A woman sitting at a table with a plate of food.
188613,532124,a woman holding a tennis racket in the air 
32812,547691,A woman is playing some tennis and ready to swing. 
368844,555652,A woman with dark makeup on holding a sandwich.
394474,563717,A woman and a kid in a room.
228344,567644,A woman holding a tennis racquetball in a blue shirt.
358572,582905,A young woman holding a tennis racquet while wearing a short skirt.
433993,585345,A woman sitting on a brown couch with two children.
541837,589492,A woman and little girl are standing in a room
114684,590922,A girl sitting on a stone wall and eating.
565986,597195,A woman holding a box open with a pizza in it. 
438497,602672,A woman putting frosting on a cake on a plate 
224358,634166,A woman tennis player prepares to hit the ball.
511066,635554,A woman standing in front of a door with a broken surf board next to her.
463174,647698,A young woman in pink leggings playing tennis
221000,662370,The woman sits in bed as a child stands at the foot of it.
292024,663043,A woman wearing glasses looking at slices of pizza
513060,676061,A woman sitting on a bench outside holding two donuts. 
399759,685639,Woman eating a hot dog standing in front of a fountain.
68025,690261,A woman standing on a  tennis court holding a racquet.
574154,695845,A young woman holding a tennis racquet in front of a ball.
345029,717088,A woman standing on a  tennis court holding a racquet.
442097,740057,"A long haired girl laying on her back with her legs crossed, on a bed."
328068,764589,A woman in a red dress hands a boy a tennis racket.
226147,766727,A woman is taking a picture of food with a mobile device.
271759,768889,A woman cuts a pan of cookies into bars on a kitchen counter.
154193,779899,A woman sitting at a table with a  pizza in front of her.
301082,787979,A woman brushes her teeth over the sink while sitting in her bed.
445908,795328,A woman hitting a tennis ball on a tennis court during a match.
99938,796123,a lady and three kids laying on a bed and reading.
483965,801201,A woman biting down into a hot dog.
510254,813091,A woman on sitting on top a bed.
298493,2229,Young kid playing tee ball with a young woman watching
342711,5611,Woman in sportswear playing tennis on a tennis court.
569543,12103,A beatiful young woman playing a game of tennis.
179327,12934,A woman standing in front of an open refrigerator in a kitchen.
254096,17869,A woman with a big ring is holding a golden cell phone.
316254,37250,a woman in a red top holding something with a white and red background
360328,50311,A older woman is on the phone in a kitchen.
80714,50424,A pretty woman sitting at a desk using a laptop computer.
168883,50674,A woman wearing a creepy  mask standing next to a child.
578861,55697,A woman is talking on the phone in front of a laptop.
574633,62863,A woman is taking a picture of the singer on stage.
263351,71668,A woman in a red jacket is holding a red phone.
473632,81921,A brown teddy bear sitting on top of a pregnant woman's belly.
60569,90872,A smiling woman looks to be playing a Wii.
422040,91950,A woman sitting at a long table with an unhappy look on her face.
431023,94068,A woman walks on a sidewalk talking on her phone while others stand near.
305589,95826,A blond haired woman holding up a cell phone.
415958,97689,A woman looks around a very small kitchen. 
457003,100405,A woman is making a funny face while holding a tennis racket
61773,102619,There are two woman in the kitchen making desserts
154644,110962,Woman listening on her phone while smoking a cigarette.
27208,112411,A woman taking a picture of kites being flown
391090,120438,A beautiful young lady talking on a cell phone.
3964,120456,A woman holding a tennis racquet while wearing a straw hat.
564091,125138,A woman is sitting at her jewelry display and talking on the phone.
490529,126776,A woman in pink looking at her phone
439902,137488,A gorgeous young lady holding  a cell phone in her right hand.
155131,142646,A lady jumping after the ball at a tennis match.
448359,143183,a woman holding a tennis racket approaching the net
143926,146609,A young woman is attempting  to fly a kite 
375606,148685,A woman in a suit using a smart phone.
383066,151629,A woman sitting at a table while holding a cell phone.
348571,154315,A woman sitting in the snow in front of a oven.
48575,180773,A beautiful woman sitting in a blue chair writing a paper.
384136,184768,A woman points a hair drier like it is a gun.
476398,186725,A woman watching her computer screen in a dark room
356878,186906,A woman sitting at a wooden table in front of an open laptop.
24601,187758,A woman holding a tennis racquet on a tennis court.
281414,191031,A woman with a book bag sits on a ledge with her cell phone.
414289,192934,A woman talking on a cell phone while holding a cup of coffee.
162799,201689,A woman swinging a tennis racquet on a tennis court.
42810,203379,A woman in a white shirt and pink skirt playing tennis.
498462,203964,A woman wearing a scarf and looking at a cell phone.
504046,212808,A young woman is holding a video game steering wheel.
562345,216632,A woman in a yellow jacket standing against a concrete wall.
278890,216897,A woman using a smart phone with her two hands.
437363,217701,A lady standing holding a cell phone in her hand.
391539,243390,A woman stands next to a fridge that has several glasses on top.
240250,254750,A woman sitting down at a table with pizza.
500062,261653,A woman in white shirt and black shorts playing tennis.
478420,264588,Two woman leaning against a wall wearing baby slings.
549797,265443,A woman holding up a cup of coffee in an office.
88345,269178,A woman posing in front of a sculpture at a bar.
391603,271299,A woman wearing a seat belt across her chest.
369323,272113,A woman holding a tennis racquet on top of a tennis court.
433980,274734,A woman taking a selfie with a mobile phone.
535682,288467,A woman lounging on a beach chair holding two phones.
386224,289079,A group of people and a girl holding a cell phone.
578974,289151,A woman's face sitting in front of an oven that has a pan of food in it.
568205,301185,There is a woman taking out fresh baked bread
199602,305887,A woman standing in the sand with a kite.
447314,312780,A woman flies a kite near a young child.
513670,313844,The cloudy sky is peppered with dots of kits as a woman with black hair stands on the grass holding a string.
295693,322229,A woman sitting on a couch using a laptop computer.
157617,331352,A woman swinging a tennis racket during a match.
32577,335196,A woman standing on a tennis court holding a racquet.
64842,338047,A beautiful woman standing in a field on green grass.
300142,340006,A woman is sitting using a cell phone.
174371,349328,A woman in camouflage showing a device to young women.
546717,352431,A woman sitting on a couch in front of a laptop.
504732,358559,A woman with her face painted like a cat is talking on her cell phone
314992,361519,A young lady with a blue purse is taking a selfie of herself. 
219458,377754,A woman wearing a witches hat and a talking on a cell phone.
150599,380312,A woman using a laptop computer at night.
32524,382081,A woman combing her hair with a brush outside at night
534173,383035,A woman in plaid shirt talking on a cellphone.
289842,392623,The woman throws a tennis ball into the air during a serve.
409016,406340,A woman's feet leave the ground as she swings her tennis racket.
201111,407892,A woman handling some food by the oven
535770,434772,A lady sitting on a couch with a laptop.
513054,454869,A woman is flying a kite with two boys.
248591,457046,A woman sitting in front of a laptop computer holding a bag.
445792,460846,there is a woman sitting on a couch playing a video game
350447,462058,A woman on a court with a tennis racket.
76844,464621,A lady and two small kids flying a kite.
308339,468056,A young woman with her laptop in bed.
83172,492730,A woman holding a racquet on top of a tennis court.
337533,494390,A woman dressed in black using the phone
468501,508210,a woman watching two people play a wii game with wii motes
97379,508836,A group of people standing around a woman flying a kite.
335578,518324,A woman swinging her racket to hit a ball. 
112066,522877,A sexy young woman holding a tennis racquet on a tennis court.
158272,533395,woman studies a map while standing on street
192806,533662,a woman standing by the road while talking on a cell phone 
47686,537656,A woman on a tennis court about to serve
22705,538933,The woman in the dress is holding her drink.
54091,540779,A woman opening up a laptop computer gift in her living room
92985,546936,A woman sitting on a sofa reading with a little girl holding a book.
514097,548419,A pretty young lady talking on a phone.
180817,556933,a picture of a woman in uniform with a rifle sitting over a teddy bear in front of a background 
508339,567360,A woman sitting at a table while using a smartphone.
357814,568001,A pretty woman holding a child and a little girl.
369503,574546,A woman standing in an un-lived in kitchen
340804,575024,A woman in a black leather coat smokes a cigarette and talks on the phone.
416730,577105,The woman is talking on a cell phone
279723,592488,A woman with a space shuttle patch checking her cell phone.
416308,593148,THERE IS A WOMAN SITTING O THE BEACH SAND 
579655,597228,A woman holding a phone in one hand up to her ear. 
381607,597419,A woman sits on a bench and talks on the phone.
114453,604599,Caucasian girl talking on a cell phone in public.
434622,623239,"A lady and a little girl are on the beach, flying a kite. "
357978,627071,The blonde woman in the red checked shirt is learning to use Wii Fit.
15725,637251,A woman sitting in front of a white refrigerator freezer.
512139,639529,a girl is holding a tennis racket on a court
536200,649207,A young woman with tattoos using her cell phone..
395801,668396,A woman sits on a bench as people walk down a sidewalk. 
45516,678390,A young woman relaxes while checking her smartphone.
325838,684684,The woman is using a laptop that sits on a stack of other laptops.
425948,686232,A woman and a little girl standing on top of a beach.
246968,692352,A young woman standing in the kitchen pours from a large measuring cup.
99065,700360,A woman is standing in front of a large red and white sign.
7873,704975,a woman on her cell phone in the middle of a market place
196053,706599,A woman holding a tennis racquet on top of a court.
298933,714711,A woman standing on top of a sandy beach under a flying kite.
47511,717641,A woman sitting at a desk with an older woman.
308441,730263,A woman holding a tennis racquet on top of a tennis court.
90284,738950,a woman is striking a ball with a racket
317797,739877,a girl in a white dress and a big yellow animal
267315,740467,A woman is holding a small child on her back.
164899,748312,A woman sitting at the end of a table with a plate of food.
353136,756114,A woman brushing her cat that is laying on a radiator.
27570,774300,"A woman blow drying her hair, in he mirror."
189845,787335,Young woman walking down the sidewalk with cell phone
240387,788505,a lady that is just about nake that is outside
460289,794303,A girl with a colorful shirt on his a tennis racket in her hand.
427997,806106,The woman is playing tennis while a crowd watches.
1757,7258,A woman and her friend sitting on a table drinking wine.
13220,69255,The woman and children share a meal at the table.
171192,117695,A woman pouring glasses of wine sitting on top of a table.
66172,140400,A woman holding up a wine glass in a dining room.
578391,192619,A woman holding a wooden piece of art next to a laptop.
547081,222410,A woman standing next to a drawing of a tree holding a teddy bear.
180729,248153,A plate sits on a table in front of a woman.
49096,481205,Woman sitting at table at outdoor venue with additional photos of food served for consumption.
247317,514734,A woman contemplating something with a coffee cup.
433924,521653,A woman holding a scissor close to her hair
396110,578827,Three men and a woman are at a table looking at a menu.
484978,701871,A woman sitting at a table while eating food.
454199,806055,A woman reaches a spoon towards a plate of food.
205108,812947,A woman near two sitting men is taking a picture of a bowl of food on the table. 
